year;evapotranspiration;precipitation;area_Poopo;area_Titicaca
1989;156.9071104635527;16.534616626545247;641560200.0;654151100.0
1990;218.7615187307153;22.982828404474816;619981200.0;773627925.0
1991;176.10901926925044;18.457871739558662;585868740.0;605225423.0769231
1992;196.9577074369629;20.7402069949472;432707528.5714286;658674450.0
1993;258.68819074544245;27.319107009907732;255169028.57142857;539977980.0
1994;194.4764654628924;20.467226348432934;99755100.0;690728906.25
1995;149.77667964854604;15.737209733908765;68755140.0;555414120.0
1996;197.51302893261226;20.758716373356922;69571350.0;512590320.0
1997;311.3312253683207;33.212163130322004;305752050.0;670683840.0
1998;147.53917509128772;15.252421763227892;156671550.0;616400145.0
1999;266.39810189919757;28.167369614154325;296023950.0;570523380.0
2000;239.13350814339816;25.0982041441107;180911250.0;510749030.76923084
2001;335.39005732383754;35.465069465558095;522904050.0;650503181.25
2002;222.5881989057316;23.31586570796431;399149700.0;649331100.0
2003;182.9235285485084;19.038834859877745;259971637.5;772868423.0769231
2004;180.77099168571831;18.9577921109308;255053700.0;780448106.25
2005;263.7665797552001;28.118685373032697;216160110.0;768414960.0
2006;255.09393874781674;26.792222805726773;268661250.0;762370818.75
2007;210.7217105589316;21.970308941527136;220534425.0;786508312.5
2008;189.44347990704287;19.879426572972505;187448785.7142857;799198000.0
2009;217.34193838016503;22.926275626488646;123012900.0;768338947.0588236
2010;200.63861808574538;21.15672142396168;108484500.0;811687380.0
2011;288.5783425048841;30.776422116840426;238193550.0;841403025.0
2012;306.9077415697852;32.198045391388966;261955875.0;564552980.3571429
2013;278.0838229506816;29.073404871868107;285718200.0;287702935.71428573
2014;204.99131049856297;21.634527960177792;204485236.3636364;318536311.76470584
2015;232.33021235178214;24.460690220068965;156190320.0;440181225.0
2016;201.73702941784234;21.049834359292266;20530227.272727273;382277539.2857143
2017;305.93810311007917;32.13296456284761;62114400.0;249685708.6956522
2018;370.1018816486065;39.431387872143176;220003650.0;389040617.6470589
2019;370.1018816486065;39.431387872143176;210351487.5;274449870.0
