year;height_Titicaca
2002;3810.6513999999997
2003;3811.164545454546
2004;3811.10725
2005;3810.6071578947362
2006;3810.5827894736844
2007;3810.3504000000003
2008;3810.1604736842114
2009;3809.54945
2010;3809.55775
2011;3809.3235999999997
2012;3809.932083333333
2013;3810.3733846153855
2014;3810.2390000000005
2015;3810.116233333333
2016;3809.5994193548386
2017;3809.0524090909094
2018;3809.104307692308
2019;3808.9843333333333
